0-6;5.2;66.0
0-5;3.2;35.0
0-4;4.2;40.0
0-3;6.2;70.0
0-2;8.2;102.0
0-1;5.2;60.0
1-6;4.5;51.0
1-5;5.4;53.0
1-4;7.2;72.0
1-3;5.8;65.0
1-2;8.5;102.0
2-6;8.5;89.0
2-5;4.1;43.0
2-4;3.2;35.0
2-3;2.7;30.0
3-6;7.4;72.0
3-5;4.3;49.0
3-4;3.7;41.0
4-6;5.2;53.0
4-5;7.4;71.0
5-6;7.4;73.0
6-7;130.0;1500.0
7-11;5.3;55.0
7-10;3.4;41.0
7-9;4.7;51.0
7-8;7.2;72.0
8-11;6.4;71.0
8-10;1.7;21.0
8-9;2.2;24.0
9-12;6.2;67.0
9-11;3.5;36.0
9-10;4.7;52.0
10-11;2.8;32.0
11-12;197.0;2460.0
12-17;2.8;32.0
12-16;4.2;51.0
12-15;3.8;45.0
12-14;4.5;51.0
12-13;2.6;31.0
13-17;3.7;41.0
13-16;5.2;62.0
13-15;4.8;58.0
13-14;3.3;41.0
14-17;3.8;43.0
14-16;5.3;64.0
14-15;4.4;53.0
15-17;2.1;35.0
15-16;1.2;22.0
16-14;330.0;45.0
16-17;3.8;44.0
